neighbourhood,property_type,room_type,beds,price,review_scores_rating,date_difference
1,0,0,2.0,55,92.05056465561094,2166
1,0,0,1.0,140,92.05056465561094,2165
1,13,0,4.0,200,96.0,2165
1,0,0,1.0,135,98.0,2162
2,0,0,1.0,140,93.0,2162
1,0,0,2.0,238,96.0,2160
1,0,0,1.0,140,95.0,2160
1,10,0,1.0,165,94.0,2160
1,0,0,1.0,110,100.0,2157
1,0,0,1.0,107,92.05056465561094,2156
1,8,0,2.0,272,100.0,2155
1,0,0,2.0,250,97.0,2154
1,0,0,1.0,80,89.0,2154
1,0,1,1.0,80,100.0,2154
2,0,1,1.0,120,98.0,2153
1,0,0,3.0,160,90.0,2150
1,0,0,4.0,150,80.0,2150
2,0,0,1.0,200,80.0,2150
1,10,1,2.0,150,90.88325849903784,2149
3,10,1,1.0,42,60.0,2149
3,10,1,1.0,42,80.0,2149
3,10,1,1.0,42,76.0,2149
3,10,1,1.0,42,72.0,2149
3,10,1,1.0,45,40.0,2149
1,0,0,2.0,149,100.0,2148
2,0,0,2.0,150,92.0,2148
2,0,0,2.0,150,98.0,2148
1,0,1,1.0,69,90.0,2147
1,0,1,1.0,250,92.05056465561094,2144
1,13,0,1.0,192,96.0,2143
2,0,0,1.0,195,93.0,2143
4,10,0,3.0,70,98.0,2142
2,0,1,1.0,70,85.0,2142
2,0,1,1.0,70,88.0,2142
2,0,1,1.0,90,89.0,2142
2,0,0,3.0,308,97.0,2139
1,0,1,2.0,49,85.0,2139
1,0,1,1.0,126,100.0,2139
2,0,1,1.0,120,72.0,2139
2,0,0,1.0,235,98.0,2136
2,0,0,1.0,235,100.0,2136
2,0,0,1.0,235,96.0,2136
2,0,0,1.0,235,90.0,2136
2,0,1,1.0,125,92.05056465561094,2136
1,0,0,3.0,115,91.0,2135
2,0,0,1.0,145,98.0,2134
2,0,2,1.0,50,94.0,2134
1,0,0,1.0,235,100.0,2133
2,0,0,1.0,185,62.0,2133
2,0,0,1.0,185,74.0,2133
1,10,0,2.0,315,98.0,2132
2,0,1,1.0,59,98.0,2132
3,10,0,3.0,290,90.88325849903784,2131
1,0,0,2.0,150,84.0,2130
1,0,0,2.0,150,86.0,2130
2,0,0,1.0,150,93.0,2130
3,16,1,2.0,120,97.0,2130
1,0,1,1.0,75,94.0,2128
1,0,0,1.0,248,93.0,2127
1,10,1,1.0,128,91.0,2127
1,10,1,1.0,128,92.0,2127
1,10,1,2.0,128,86.0,2127
1,10,1,1.0,128,89.0,2127
2,0,1,1.0,56,100.0,2125
